tier,n_reviews,doi,title,authors,journal,year,volume,page,type,citations,publisher,target_folder
B,3,10.1109/icit.2005.1600615,"An Experimental Technique for Estimating the Aluminum Electrolytic Capacitor Equivalent Circuit, at High Frequencies",Amaral A.M.R.; Marques Cardoso A.J.,2005 IEEE International Conference on Industrial Technology,,,86-91,proceedings-article,12,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/pesc.2008.4592252,A non-invasive technique for fault diagnosis of SMPS,Amaral Acacio M. R.; Marques Cardoso A. J.,2008 IEEE Power Electronics Specialists Conference,2008,,2097-2102,proceedings-article,11,IEEE Xplore,03_CM_ParameterEstimation
C,2,10.1109/mei.2010.5383924,Historical introduction to capacitor technology,Ho J.; Jow T.R.; Boggs S.,IEEE Electrical Insulation Magazine,2010,26,20-25,journal-article,250,IEEE Xplore,03_CM_ParameterEstimation
C,2,10.1109/iecon.2012.6388833,Design for reliability of power electronic systems,Wang Huai; Ma Ke; Blaabjerg Frede,IECON 2012 - 38th Annual Conference on IEEE Industrial Electronics Society,2012,,33-44,proceedings-article,243,IEEE Xplore,02_Failure_Physics
C,2,10.1109/tia.2008.2002220,Condition Monitoring of DC-Link Electrolytic Capacitors in Adjustable-Speed Drives,Kwang-Woon Lee; Myungchul Kim; Jangho Yoon; Sang Bin Lee et al.,IEEE Transactions on Industry Applications,2008,44,1606-1613,journal-article,120,IEEE Xplore,03_CM_ParameterEstimation
C,2,10.1109/tpel.2016.2552039,Application of an Efficient Rogowski Coil Sensor for Switch Fault Diagnosis and Capacitor ESR Monitoring in Nonisolated Single-Switch DC–DC Converters,Farjah Ebrahim; Givi Hadi; Ghanbari Teymoor,IEEE Transactions on Power Electronics,2017,32,1442-1456,journal-article,107,IEEE Xplore,03_CM_ParameterEstimation
C,2,10.1109/tie.2016.2581156,PoF-Simulation-Assisted Reliability Prediction for Electrolytic Capacitor in LED Drivers,Sun Bo; Fan Xuejun; Qian Cheng; Zhang Guoqi,IEEE Transactions on Industrial Electronics,2016,63,6726-6735,journal-article,102,IEEE Xplore,02_Failure_Physics
C,2,10.1109/tpel.2015.2472459,Low Sampling Rate Online Parameters Monitoring of DC–DC Converters for Predictive-Maintenance Using Biogeography-Based Optimization,Li B. X.; Low K. S.,IEEE Transactions on Power Electronics,2016,31,2870-2879,journal-article,99,IEEE Xplore,04_SOH_RUL_Prognostics
C,2,10.1109/tie.2017.2652372,Online Condition Monitoring for Both IGBT Module and DC-Link Capacitor of Power Converter Based on Short-Circuit Current Simultaneously,Sun Pengju; Gong Can; Du Xiong; Luo Quanming et al.,IEEE Transactions on Industrial Electronics,2017,64,3662-3671,journal-article,92,IEEE Xplore,03_CM_ParameterEstimation
C,2,10.1109/tie.2019.2912771,Failure Prediction of Submodule Capacitors in Modular Multilevel Converter by Monitoring the Intrinsic Capacitor Voltage Fluctuations,Ronanki Deepak; Williamson Sheldon S.,IEEE Transactions on Industrial Electronics,2020,67,2585-2594,journal-article,84,IEEE Xplore,04_SOH_RUL_Prognostics
C,2,10.1109/tste.2014.2347967,Performance Evaluation of Three-Phase Grid-Connected Photovoltaic Inverters Using Electrolytic or Polypropylene Film Capacitors,Karanayil Baburaj; Agelidis Vassilios G.; Pou Josep,IEEE Transactions on Sustainable Energy,2014,5,1297-1306,journal-article,70,IEEE Xplore,03_CM_ParameterEstimation
C,2,10.1109/tia.2018.2836923,Online Estimation of Aluminum Electrolytic-Capacitor Parameters Using a Modified Prony's Method,Laadjal Khaled; Sahraoui Mohamed; Cardoso Antonio J. Marques; Amaral Acacio Manuel Raposo,IEEE Transactions on Industry Applications,2018,54,4764-4774,journal-article,59,IEEE Xplore,03_CM_ParameterEstimation
C,2,10.1109/tpel.2019.2957027,Online Estimation of ESR for DC-Link Capacitor of Boost PFC Converter Using Wavelet Transform Based Time–Frequency Analysis Method,Lu Weiguo; Lu Xuemei; Han Jinxin; Zhao Zhaoyang et al.,IEEE Transactions on Power Electronics,2020,35,7755-7764,journal-article,53,IEEE Xplore,03_CM_ParameterEstimation
